Experience,Safety,Injuries,Hours
7,Certification,6,231437
8,Certification,8,126655
7,Certification,7,87847
6,Certification,19,222970
5,Certification,39,376438
4,Certification,57,316462
3,Certification,60,235670
2,Certification,40,127361
1,Certification,40,96667
1,Certification + 12 montly review,1,51156
8,Certification + 12 montly review,2,36691
7,Certification + 12 montly review,1,34574
6,Certification + 12 montly review,13,131242
5,Certification + 12 montly review,38,298469
4,Certification + 12 montly review,58,334807
3,Certification + 12 montly review,71,290707
2,Certification + 12 montly review,81,235318
1,Certification + 12 montly review,85,189454
2,No Standardised Process,50,1598537
8,No Standardised Process,57,1068984
7,No Standardised Process,65,799798
6,No Standardised Process,192,1651810
5,No Standardised Process,334,2135146
4,No Standardised Process,301,1368864
3,No Standardised Process,205,717242
2,No Standardised Process,113,307289
1,No Standardised Process,63,121716
8,On-Site Induction,42,1203048
8,On-Site Induction,47,789919
7,On-Site Induction,63,653033
6,On-Site Induction,172,1153656
5,On-Site Induction,260,1337465
4,On-Site Induction,230,854129
3,On-Site Induction,144,421596
2,On-Site Induction,72,153821
1,On-Site Induction,21,39866
